UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO,municipio_limpo,uf_limpa,chave_merge,DIESEL,FLEX
PR,FOZ DO IGUACU,234498,133938,0,3977,3996,14405,10415,0,109,1315,41800,6956,1789,3,4208,6532,16,1145,0,19,82,3793,FOZ DO IGUACU,PR,FOZ DO IGUACU_PR,18061.0,87362.0
PR,FOZ DO JORDAO,3149,2177,0,108,18,323,72,0,1,14,244,55,28,0,66,20,2,2,0,0,1,18,FOZ DO JORDAO,PR,FOZ DO JORDAO_PR,294.0,1038.0
PR,FRANCISCO ALVES,5609,2547,0,215,45,492,103,0,2,15,1476,421,59,0,130,57,0,17,0,1,0,29,FRANCISCO ALVES,PR,FRANCISCO ALVES_PR,529.0,2102.0
PR,FRANCISCO BELTRAO,83856,43822,0,2819,1192,8489,3410,0,79,292,12380,5764,307,0,1692,1677,5,359,0,3,17,1549,FRANCISCO BELTRAO,PR,FRANCISCO BELTRAO_PR,8473.0,34668.0
PR,GENERAL CARNEIRO,8528,4974,0,601,116,1108,341,0,5,74,718,97,136,0,194,102,0,28,0,2,0,32,GENERAL CARNEIRO,PR,GENERAL CARNEIRO_PR,1374.0,2775.0
PR,GODOY MOREIRA,2251,962,0,77,3,293,30,0,0,6,747,74,19,0,27,3,0,2,0,1,2,5,GODOY MOREIRA,PR,GODOY MOREIRA_PR,217.0,705.0
PR,GOIOERE,23114,11721,0,733,400,2336,635,0,76,73,3686,1813,65,0,547,639,20,104,0,9,17,240,GOIOERE,PR,GOIOERE_PR,2364.0,8934.0
PR,GOIOXIM,3632,1879,0,172,34,549,106,0,1,27,676,25,60,0,33,55,0,4,0,0,0,11,GOIOXIM,PR,GOIOXIM_PR,521.0,1337.0
PR,GRANDES RIOS,3853,1988,0,148,12,479,99,0,2,18,929,57,30,0,38,26,0,10,0,0,2,15,GRANDES RIOS,PR,GRANDES RIOS_PR,425.0,1274.0
PR,GUAIRA,33716,14668,0,1171,530,2570,1055,0,32,58,5983,2902,907,0,1484,1806,0,170,0,1,16,363,GUAIRA,PR,GUAIRA_PR,4014.0,9150.0
PR,GUAIRACA,4376,2126,0,152,31,421,107,0,7,18,989,296,52,0,94,53,0,9,0,0,0,21,GUAIRACA,PR,GUAIRACA_PR,445.0,1721.0
PR,GUAMIRANGA,5385,2734,0,205,101,649,72,0,3,15,1238,58,41,0,84,151,0,8,0,1,3,22,GUAMIRANGA,PR,GUAMIRANGA_PR,601.0,1868.0
PR,GUAPIRAMA,2966,1413,0,152,85,319,74,0,3,13,512,83,30,0,98,150,0,10,0,0,3,21,GUAPIRAMA,PR,GUAPIRAMA_PR,400.0,1172.0
PR,GUAPOREMA,1632,736,0,54,47,168,34,0,1,7,336,73,25,0,70,69,1,0,0,0,0,11,GUAPOREMA,PR,GUAPOREMA_PR,203.0,560.0
PR,GUARACI,3693,2227,0,131,23,338,110,0,4,9,536,131,48,0,79,27,1,13,0,0,0,16,GUARACI,PR,GUARACI_PR,379.0,1344.0
PR,GUARANIACU,10603,5626,0,557,178,1497,415,0,4,52,1412,180,80,0,165,283,0,49,1,2,5,97,GUARANIACU,PR,GUARANIACU_PR,1627.0,3719.0
PR,GUARAPUAVA,145353,85804,0,5689,2528,15900,5914,0,158,696,15790,3157,642,1,2923,3158,13,502,0,78,35,2365,GUARAPUAVA,PR,GUARAPUAVA_PR,17370.0,61905.0
PR,GUARAQUECABA,1181,524,0,44,1,122,61,0,1,8,354,17,21,0,12,3,0,3,0,0,1,9,GUARAQUECABA,PR,GUARAQUECABA_PR,144.0,524.0
PR,GUARATUBA,23607,12535,0,560,276,1920,1026,0,51,72,3833,1649,74,0,970,249,2,75,0,3,11,301,GUARATUBA,PR,GUARATUBA_PR,1753.0,9741.0
PR,HONORIO SERPA,3798,2057,0,181,19,517,113,0,2,12,675,52,52,0,47,23,0,16,0,0,1,31,HONORIO SERPA,PR,HONORIO SERPA_PR,516.0,1263.0
PR,IBAITI,21591,12141,0,744,272,2370,679,0,23,62,3510,486,187,0,455,388,0,59,0,3,7,205,IBAITI,PR,IBAITI_PR,2329.0,8029.0
PR,IBEMA,4314,2419,0,202,115,495,130,0,3,20,559,51,25,0,62,184,0,15,0,0,1,33,IBEMA,PR,IBEMA_PR,576.0,1379.0
PR,IBIPORA,43070,22812,0,1632,450,3509,1341,0,314,117,7681,2950,223,2,718,687,2,285,1,14,10,322,IBIPORA,PR,IBIPORA_PR,3768.0,17231.0
PR,ICARAIMA,7268,3455,0,242,48,777,193,0,8,21,1518,480,63,0,315,75,0,26,0,0,2,45,ICARAIMA,PR,ICARAIMA_PR,750.0,2389.0
